year,region,num_school,num_class,total_stu,man_stu,women_stu,total_teacher,man_teacher,women_teacher,total_employee,man_employee,women_emplyee,num_graduate,num_entrant,area,build_area
2020,Seoul,607,"18,561","409,536","210,243","199,293","28,608","3,719","24,889","2,962","1,168","1,794","74,375","64,898","7,235","6,001"
2020,Jongno-gu,13,269,"5,192","2,634","2,558",452,62,390,51,19,32,988,764,106,100
2020,Jung-gu,12,243,"4,990","2,468","2,522",393,63,330,72,33,39,878,901,125,98
2020,Yongsan-gu ,15,351,"6,870","3,498","3,372",568,61,507,66,25,41,"1,301","1,087",195,117
2020,Seongdong-gu,21,566,"10,992","5,590","5,402",919,117,802,109,47,62,"1,992","1,926",195,236
2020,Gwangjin-gu,22,639,"14,257","7,322","6,935",998,144,854,112,52,60,"2,615","2,250",217,206
2020,Dongdaemun-gu,21,603,"13,157","6,809","6,348",932,124,808,117,57,60,"2,333","2,127",273,214
2020,Jungnang-gu,23,696,"14,554","7,440","7,114","1,067",173,894,112,46,66,"2,486","2,377",272,276
2020,Seongbuk-gu,29,888,"20,086","10,255","9,831","1,359",217,"1,142",153,61,92,"3,717","3,145",332,302
2020,Gangbuk-gu,14,452,"9,913","5,066","4,847",703,129,574,79,33,46,"1,870","1,528",179,161
2020,Dobong-gu,23,689,"14,540","7,474","7,066","1,012",199,813,108,54,54,"2,822","2,247",279,221
2020,Nowon-gu,42,"1,201","25,841","13,297","12,544","1,751",317,"1,434",223,103,120,"5,092","3,856",485,371
2020,Eunpyeong-gu,31,921,"20,400","10,538","9,862","1,408",187,"1,221",148,61,87,"3,850","3,171",401,313
2020,Seodaemun-gu,19,582,"12,988","6,582","6,406",906,119,787,101,43,58,"2,134","2,188",221,199
2020,Mapo-gu,22,655,"14,375","7,282","7,093","1,037",105,932,95,37,58,"2,761","2,193",244,215
2020,Yangcheon-gu,30,"1,010","23,985","12,430","11,555","1,555",182,"1,373",147,46,101,"4,785","3,518",355,292
2020,Gangseo-gu,35,"1,180","26,078","13,375","12,703","1,756",235,"1,521",174,68,106,"4,512","4,327",414,347
2020,Guro-gu,26,867,"18,180","9,220","8,960","1,336",177,"1,159",126,50,76,"3,039","3,039",327,264
2020,Geumcheon-gu,18,443,"8,339","4,226","4,113",693,104,589,79,30,49,"1,477","1,345",200,165
2020,Yeongdeungpo-gu,23,660,"13,537","6,884","6,653","1,039",129,910,111,38,73,"2,268","2,282",300,220
2020,Dongjak-gu,21,686,"15,553","7,919","7,634","1,045",142,903,101,44,57,"2,724","2,557",259,217
2020,Gwanak-gu,22,694,"14,410","7,416","6,994","1,067",139,928,105,39,66,"2,612","2,310",276,237
2020,Seocho-gu,24,880,"22,668","11,736","10,932","1,324",127,"1,197",116,33,83,"3,944","3,452",304,220
2020,Gangnam-gu,33,990,"25,905","13,581","12,324","1,611",106,"1,505",148,47,101,"5,029","3,906",429,360
2020,Songpa-gu,40,"1,406","31,373","16,045","15,328","2,173",202,"1,971",184,58,126,"5,603","4,982",468,391
2020,Gang Dong-gu,28,990,"21,353","11,156","10,197","1,504",159,"1,345",125,44,81,"3,543","3,420",377,261
2021,Seoul,607,"18,396","399,435","204,682","194,753","28,219","3,660","24,559","2,960","1,124","1,836","70,430","63,690","7,158","6,034"
